"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","1","","UI Controls Test suite","","","","UI Controls",""
"passed","Tue Sep 05 07:42:35 PDT 2023","Tue Sep 05 07:42:38 PDT 2023","3531","","E-commerce Application","","","","Login fail page - Smoke",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","0","","Window and Frames Miscellanous","","","","Frames switch",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","0","","UI Controls Test suite","","","","Checkboxes Identification",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","1","","UI Controls Test suite","","","","Dynamic Dropdown Controls",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","1","","E-commerce Application","","","","Login fail page",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","0","","E-commerce Application","","","","Login success page",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","2","","Functional scenario","","","","UI controls",""
"passed","Tue Sep 05 07:42:46 PDT 2023","Tue Sep 05 07:42:48 PDT 2023","1966","","Functional scenario","","","","Web Tables validation",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","69","","E-Commerce Application","","","","E2E test",""
"broken","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:46 PDT 2023","16503","","Functional scenario","","","","Alert msg handler",""
"failed","Tue Sep 05 07:42:48 PDT 2023","Tue Sep 05 07:42:49 PDT 2023","568","","Functional scenario","","","","Search for an item",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","2","","Window and Frames Miscellanous","","","","Parent and Child windows switch",""
"skipped","Tue Sep 05 07:42:30 PDT 2023","Tue Sep 05 07:42:30 PDT 2023","0","","E-commerce Application","","","","E2E test",""
